macro,type,size,file,line
MTIOCSETEOTMODEL,u_int32_t,4,12.1src/sys/sys/mtio.h,336
MTIOCSETLIST,struct mtsetlist,12,12.1src/sys/sys/mtio.h,345
MTIOCSLOCATE,u_int32_t,4,12.1src/sys/sys/mtio.h,328
MTIOCTOP,struct mtop,8,12.1src/sys/sys/mtio.h,315
WDIOC_GETPRETIMEOUT,int,4,12.1src/sys/sys/watchdog.h,44
WDIOC_GETTIMELEFT,int,4,12.1src/sys/sys/watchdog.h,43
WDIOC_GETTIMEOUT,int,4,12.1src/sys/sys/watchdog.h,42
WDIOC_SETPRETIMEOUT,int,4,12.1src/sys/sys/watchdog.h,45
WDIOC_SETPRETIMEOUTACT,int,4,12.1src/sys/sys/watchdog.h,47
WDIOC_SETSOFT,int,4,12.1src/sys/sys/watchdog.h,50
WDIOC_SETSOFTTIMEOUTACT,int,4,12.1src/sys/sys/watchdog.h,51
WDIOC_SETTIMEOUT,int,4,12.1src/sys/sys/watchdog.h,41
CPUCTL_CPUID,cpuctl_cpuid_args_t,20,12.1src/sys/sys/cpuctl.h,57
CPUCTL_CPUID_COUNT,cpuctl_cpuid_count_args_t,24,12.1src/sys/sys/cpuctl.h,61
CPUCTL_MSRCBIT,cpuctl_msr_args_t,12,12.1src/sys/sys/cpuctl.h,60
CPUCTL_MSRSBIT,cpuctl_msr_args_t,12,12.1src/sys/sys/cpuctl.h,59
CPUCTL_RDMSR,cpuctl_msr_args_t,12,12.1src/sys/sys/cpuctl.h,55
CPUCTL_UPDATE,cpuctl_update_args_t,8,12.1src/sys/sys/cpuctl.h,58
CPUCTL_WRMSR,cpuctl_msr_args_t,12,12.1src/sys/sys/cpuctl.h,56
PCIOCATTACHED,struct pci_io,20,12.1src/sys/sys/pciio.h,162
PCIOCBARMMAP,struct pci_bar_mmap,40,12.1src/sys/sys/pciio.h,165
PCIOCGETBAR,struct pci_bar_io,32,12.1src/sys/sys/pciio.h,163
PCIOCGETCONF,struct pci_conf_io,36,12.1src/sys/sys/pciio.h,159
PCIOCLISTVPD,struct pci_list_vpd_io,16,12.1src/sys/sys/pciio.h,164
PCIOCREAD,struct pci_io,20,12.1src/sys/sys/pciio.h,160
PCIOCWRITE,struct pci_io,20,12.1src/sys/sys/pciio.h,161
PPS_IOC_FETCH,struct pps_fetch_args,48,12.1src/sys/sys/timepps.h,132
PPS_IOC_FETCH_FFCOUNTER,struct pps_fetch_ffc_args,64,12.1src/sys/sys/timepps.h,134
PPS_IOC_GETCAP,int,4,12.1src/sys/sys/timepps.h,131
PPS_IOC_GETPARAMS,pps_params_t,32,12.1src/sys/sys/timepps.h,130
PPS_IOC_KCBIND,struct pps_kcbind_args,12,12.1src/sys/sys/timepps.h,133
PPS_IOC_SETPARAMS,pps_params_t,32,12.1src/sys/sys/timepps.h,129
MDIOCATTACH,struct md_ioctl,436,12.1src/sys/sys/mdioctl.h,81
