macro,file,line,type,size_i386,size_amd64
VIDIOC_G_PRIORITY,sys/contrib/v4l/videodev2.h,1720,enum v4l2_priority,4,4
VIDIOC_G_SLICED_VBI_CAP,sys/contrib/v4l/videodev2.h,1722,struct v4l2_sliced_vbi_cap,116,116
VIDIOC_G_STD,sys/contrib/v4l/videodev2.h,1688,v4l2_std_id,8,8
VIDIOC_G_TUNER,sys/contrib/v4l/videodev2.h,1694,struct v4l2_tuner,84,84
VIDIOC_OVERLAY,sys/contrib/v4l/videodev2.h,1681,int,4,4
VIDIOC_OVERLAY_OLD,sys/contrib/v4l/videodev2.h,1760,int,4,4
VIDIOC_QBUF,sys/contrib/v4l/videodev2.h,1682,struct v4l2_buffer,68,88
VIDIOC_QUERYBUF,sys/contrib/v4l/videodev2.h,1678,struct v4l2_buffer,68,88
VIDIOC_QUERYCAP,sys/contrib/v4l/videodev2.h,1672,struct v4l2_capability,104,104
VIDIOC_QUERYCTRL,sys/contrib/v4l/videodev2.h,1698,struct v4l2_queryctrl,68,68
VIDIOC_QUERYMENU,sys/contrib/v4l/videodev2.h,1699,struct v4l2_querymenu,44,44
VIDIOC_QUERYSTD,sys/contrib/v4l/videodev2.h,1716,v4l2_std_id,8,8
VIDIOC_QUERY_DV_PRESET,sys/contrib/v4l/videodev2.h,1751,struct v4l2_dv_preset,20,20
VIDIOC_REQBUFS,sys/contrib/v4l/videodev2.h,1677,struct v4l2_requestbuffers,20,20
VIDIOC_STREAMOFF,sys/contrib/v4l/videodev2.h,1685,int,4,4
VIDIOC_STREAMON,sys/contrib/v4l/videodev2.h,1684,int,4,4
VIDIOC_S_AUDIO,sys/contrib/v4l/videodev2.h,1697,struct v4l2_audio,52,52
VIDIOC_S_AUDOUT,sys/contrib/v4l/videodev2.h,1706,struct v4l2_audioout,52,52
VIDIOC_S_CROP,sys/contrib/v4l/videodev2.h,1713,struct v4l2_crop,20,20
VIDIOC_S_CTRL,sys/contrib/v4l/videodev2.h,1693,struct v4l2_control,8,8
VIDIOC_S_CTRL_OLD,sys/contrib/v4l/videodev2.h,1762,struct v4l2_control,8,8
VIDIOC_S_DV_PRESET,sys/contrib/v4l/videodev2.h,1749,struct v4l2_dv_preset,20,20
VIDIOC_S_DV_TIMINGS,sys/contrib/v4l/videodev2.h,1752,struct v4l2_dv_timings,132,132
